   Mass Column        T
   (gr/cm^2)         (K)
   0.00247550       3854.17
   0.00289622       3877.20
   0.00371391       3915.87
   0.00461186       3947.31
   0.00562882       3975.83
   0.00679114       4002.68
   0.00812965       4028.88
   0.00967697       4054.60
    0.0114707       4080.70
    0.0135550       4106.90
    0.0159784       4133.17
    0.0187962       4159.76
    0.0220745       4186.80
    0.0258946       4214.62
    0.0303493       4242.54
    0.0355454       4271.12
    0.0416102       4299.82
    0.0486859       4328.47
    0.0569360       4357.26
    0.0665567       4386.33
    0.0777881       4415.62
    0.0909017       4445.03
     0.106210       4474.68
     0.124086       4504.64
     0.144958       4534.60
     0.169312       4564.41
     0.197733       4594.56
     0.230919       4624.83
     0.269672       4655.47
     0.314915       4686.52
     0.367741       4718.92
     0.429402       4752.16
     0.501332       4787.18
     0.585255       4824.41
     0.683185       4864.69
     0.797397       4908.81
     0.930511       4958.04
      1.08554       5014.05
      1.26597       5078.42
      1.47575       5153.04
      1.71902       5240.63
      1.99961       5342.94
      2.31916       5463.96
      2.67697       5602.01
      3.06065       5800.44
      3.43602       6041.67
      3.78353       6266.43
      4.11264       6473.71
      4.42758       6699.18
      4.72482       6953.54
      4.99668       7226.88
      5.23922       7508.49
      5.44801       7815.76
      5.63283       8070.74
      5.81305       8273.61
      5.99574       8470.23
      6.18778       8638.82
      6.39278       8815.54
      6.61547       8973.23
      6.85950       9151.00
      7.12987       9320.09
      7.43137       9521.68
      7.76945       9739.64
